"sk_legislatura","version","date_from","date_to","idDeputado","idLegislaturaFinal","idLegislaturaInicial","dt_inicio","anoEleicao","dt_fim","dt_inicio_real"
197,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","242",4,1,,,,
198,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","342",4,3,,,,
199,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","370",4,4,,,,
200,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","355",4,4,,,,
201,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","389",4,4,,,,
202,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","402",4,4,,,,
203,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","158",4,1,,,,
204,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","403",4,4,,,,
205,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","356",4,4,,,,
206,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","236",4,2,,,,
207,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","323",4,3,,,,
208,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","1271",4,2,,,,
209,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","225373",4,4,,,,
210,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","162",4,1,,,,
211,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","357",4,4,,,,
212,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","383",4,4,,,,
213,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","312",4,3,,,,
214,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","366",4,4,,,,
215,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","358",4,4,,,,
216,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","304",4,3,,,,
217,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","365",4,4,,,,
218,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","277",4,2,,,,
219,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","400",4,4,,,,
220,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","149",4,1,,,,
221,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","398",4,4,,,,
222,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","399",4,4,,,,
223,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","136",5,1,,,,
224,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","459",5,5,,,,
225,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","384",5,4,,,,
226,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","374",5,4,,,,
227,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","250",5,2,,,,
228,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","321",5,3,,,,
229,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","408",5,4,,,,
230,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","409",5,5,,,,
231,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","33",5,2,,,,
232,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","432",5,5,,,,
233,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","269",5,1,,,,
234,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","421",5,5,,,,
235,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","214",5,2,,,,
236,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","349",5,4,,,,
237,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","433",5,5,,,,
238,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","464",5,5,,,,
239,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","424",5,5,,,,
240,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","414",5,5,,,,
241,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","116",5,1,,,,
242,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","157",5,1,,,,
243,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","434",5,5,,,,
244,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","435",5,5,,,,
245,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","426",5,5,,,,
246,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","436",5,4,,,,
247,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","328",5,3,,,,
248,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","453",5,5,,,,
249,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","440",5,5,,,,
250,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","411",5,5,,,,
251,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","145",5,1,,,,
252,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","454",5,5,,,,
253,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","455",5,5,,,,
254,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","442",5,5,,,,
255,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","344",5,2,,,,
256,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","336",5,3,,,,
257,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","412",5,5,,,,
258,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","447",5,5,,,,
259,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","351",5,4,,,,
260,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","444",5,5,,,,
261,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","418",5,5,,,,
262,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","404",5,4,,,,
263,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","445",5,5,,,,
264,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","405",5,4,,,,
265,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","320",5,3,,,,
266,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","352",5,4,,,,
267,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","340",6,3,,,,
268,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","473",6,6,,,,
269,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","90",6,4,,,,
270,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","478",6,6,,,,
271,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","326",6,3,,,,
272,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","125",6,1,,,,
273,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","429",6,5,,,,
274,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","479",6,6,,,,
275,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","502",6,6,,,,
276,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","173",6,1,,,,
277,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","486",6,6,,,,
278,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","247",6,2,,,,
279,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","311",6,3,,,,
280,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","215",6,2,,,,
281,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","506",6,6,,,,
282,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","498",6,6,,,,
283,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","509",6,6,,,,
284,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","138",6,1,,,,
285,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","394",6,4,,,,
286,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","167",6,1,,,,
287,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","504",6,6,,,,
288,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","469",6,6,,,,
289,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","505",6,6,,,,
290,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","514",6,6,,,,
291,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","484",6,6,,,,
292,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","37",6,6,,,,
293,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","134",6,1,,,,
294,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","470",6,6,,,,
295,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","332",6,3,,,,
296,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","489",6,3,,,,
297,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","515",6,6,,,,
298,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","295",6,3,,,,
299,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","213",6,2,,,,
300,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","417",6,5,,,,
301,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","519",6,6,,,,
302,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","367",6,4,,,,
303,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","510",6,6,,,,
304,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","337",6,3,,,,
305,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","520",6,6,,,,
306,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","329",6,3,,,,
307,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","517",6,6,,,,
308,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","518",6,6,,,,
309,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","225",6,2,,,,
310,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","507",6,6,,,,
311,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","35",6,3,,,,
312,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","545",7,7,,,,
313,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","491",7,6,,,,
